tipo_muerte;provincia;arma;Anio
ASESINATO;PICHINCHA;ARMA DE FUEGO;2016
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2024
SICARIATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
ASESINATO;PICHINCHA;CONTUNDENTE;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;GUAYAS;ASFIXIA;2014
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2016
SICARIATO;GUAYAS;ARMA DE FUEGO;2014
SICARIATO;PICHINCHA;ARMA DE FUEGO;2016
ASESINATO;PICHINCHA;ARMA DE FUEGO;2016
ASESINATO;EL ORO;ARMA DE FUEGO;2014
HOMICIDIO;PICHINCHA;ARMA BLANCA;2015
SICARIATO;LOS RIOS;ARMA DE FUEGO;2023
SICARIATO;CHIMBORAZO;CONTUNDENTE;2016
SICARIATO;GUAYAS;ARMA BLANCA;2014
SICARIATO;ESMERALDAS;ARMA BLANCA;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;EL ORO;ARMA BLANCA;2014
SICARIATO;GUAYAS;ARMA BLANCA;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;TUNGURAHUA;ARMA DE FUEGO;2015
SICARIATO;LOS RIOS;ARMA DE FUEGO;2020
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2014
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
FEMICIDIO;PICHINCHA;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;AZUAY;ARMA BLANCA;2022
ASESINATO;LOS RIOS;ARMA DE FUEGO;2025
HOMICIDIO;AZUAY;ARMA DE FUEGO;2024
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
SICARIATO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;MANABI;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA BLANCA;2014
ASESINATO;MANABI;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ASFIXIA;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;MANABI;ASFIXIA;2024
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2014
SICARIATO;PICHINCHA;ARMA DE FUEGO;2015
ASESINATO;LOS RIOS;ARMA DE FUEGO;2025
SICARIATO;LOS RIOS;ARMA BLANCA;2024
ASESINATO;ESMERALDAS;ARMA BLANCA;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
SICARIATO;PICHINCHA;ARMA DE FUEGO;2015
FEMICIDIO;MANABI;CONTUNDENTE;2022
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA BLANCA;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;PICHINCHA;ARMA BLANCA;2022
HOMICIDIO;AZUAY;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
FEMICIDIO;EL ORO;ARMA DE FUEGO;2020
HOMICIDIO;LOS RIOS;CONTUNDENTE;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;MANABI;ARMA BLANCA;2019
FEMICIDIO;AZUAY;ARMA DE FUEGO;2021
HOMICIDIO;MANABI;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2020
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ASFIXIA;2019
SICARIATO;LOS RIOS;ARMA DE FUEGO;2014
ASESINATO;MANABI;ARMA DE FUEGO;2014
ASESINATO;MANABI;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA BLANCA;2019
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2025
HOMICIDIO;EL ORO;ARMA DE FUEGO;2018
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2023
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;ESMERALDAS;ASFIXIA;2020
ASESINATO;EL ORO;ARMA DE FUEGO;2024
FEMICIDIO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;ESMERALDAS;ARMA BLANCA;2022
SICARIATO;GUAYAS;ARMA BLANCA;2023
ASESINATO;GUAYAS;ARMA BLANCA;2015
ASESINATO;MANABI;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA BLANCA;2019
HOMICIDIO;GUAYAS;CONTUNDENTE;2019
SICARIATO;GUAYAS;ARMA DE FUEGO;2022
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA BLANCA;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;MANABI;ARMA DE FUEGO;2024
HOMICIDIO;SUCUMBIOS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;GUAYAS;ASFIXIA;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
HOMICIDIO;MANABI;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2014
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;PICHINCHA;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;MANABI;ARMA DE FUEGO;2023
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2023
HOMICIDIO;LOS RIOS;ARMA BLANCA;2022
ASESINATO;ESMERALDAS;CONTUNDENTE;2017
FEMICIDIO;EL ORO;ARMA DE FUEGO;2018
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;MANABI;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;ARMA DE FUEGO;2021
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2018
ASESINATO;GUAYAS;ARMA BLANCA;2024
SICARIATO;MANABI;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2025
HOMICIDIO;LOS RIOS;ASFIXIA;2021
ASESINATO;PICHINCHA;ARMA DE FUEGO;2022
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2020
SICARIATO;SANTA ELENA;ARMA DE FUEGO;2017
HOMICIDIO;SUCUMBIOS;ARMA DE FUEGO;2014
ASESINATO;LOS RIOS;ARMA DE FUEGO;2014
ASESINATO;AZUAY;ARMA DE FUEGO;2021
FEMICIDIO;ESMERALDAS;ARMA DE FUEGO;2024
HOMICIDIO;GUAYAS;ARMA BLANCA;2020
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA BLANCA;2019
ASESINATO;ESMERALDAS;ARMA BLANCA;2022
ASESINATO;PICHINCHA;ARMA DE FUEGO;2021
HOMICIDIO;MANABI;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;CONTUNDENTE;2022
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
FEMICIDIO;GUAYAS;CONTUNDENTE;2020
HOMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2021
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;CHIMBORAZO;ARMA DE FUEGO;2021
HOMICIDIO;GUAYAS;ARMA BLANCA;2020
ASESINATO;EL ORO;ARMA BLANCA;2016
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2019
FEMICIDIO;EL ORO;ARMA DE FUEGO;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
SICARIATO;PICHINCHA;ARMA DE FUEGO;2025
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2024
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;EL ORO;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA BLANCA;2021
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2016
HOMICIDIO;LOS RIOS;ARMA BLANCA;2023
ASESINATO;EL ORO;ARMA DE FUEGO;2024
ASESINATO;EL ORO;ARMA DE FUEGO;2025
HOMICIDIO;GUAYAS;CONTUNDENTE;2023
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;ARMA DE FUEGO;2024
ASESINATO;AZUAY;ARMA BLANCA;2018
ASESINATO;PICHINCHA;ARMA DE FUEGO;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2020
ASESINATO;MANABI;ARMA DE FUEGO;2015
ASESINATO;AZUAY;ARMA DE FUEGO;2021
HOMICIDIO;PICHINCHA;CONTUNDENTE;2018
HOMICIDIO;AZUAY;ARMA DE FUEGO;2021
FEMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2021
ASESINATO;LOS RIOS;ARMA DE FUEGO;2020
ASESINATO;EL ORO;ARMA DE FUEGO;2020
FEMICIDIO;MANABI;ARMA DE FUEGO;2019
ASESINATO;PICHINCHA;ARMA BLANCA;2024
SICARIATO;TUNGURAHUA;ARMA BLANCA;2025
ASESINATO;ESMERALDAS;ARMA BLANCA;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2017
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2025
HOMICIDIO;AZUAY;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;EL ORO;ARMA DE FUEGO;2022
ASESINATO;ESMERALDAS;ARMA BLANCA;2018
ASESINATO;TUNGURAHUA;ARMA BLANCA;2021
ASESINATO;PICHINCHA;ARMA BLANCA;2015
HOMICIDIO;EL ORO;ASFIXIA;2017
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA BLANCA;2022
SICARIATO;MANABI;ASFIXIA;2018
ASESINATO;LOS RIOS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2022
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;PICHINCHA;ARMA BLANCA;2020
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2022
SICARIATO;MANABI;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;EL ORO;ARMA DE FUEGO;2017
HOMICIDIO;AZUAY;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA BLANCA;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;GUAYAS;OTRA;2014
SICARIATO;GUAYAS;ARMA DE FUEGO;2023
SICARIATO;GUAYAS;ARMA DE FUEGO;2023
HOMICIDIO;ESMERALDAS;ARMA DE FUEGO;2016
ASESINATO;IMBABURA;ARMA BLANCA;2016
ASESINATO;MANABI;ARMA DE FUEGO;2015
ASESINATO;MANABI;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;ARMA BLANCA;2016
ASESINATO;PICHINCHA;ARMA DE FUEGO;2021
SICARIATO;PICHINCHA;ARMA DE FUEGO;2021
ASESINATO;PICHINCHA;ASFIXIA;2024
SICARIATO;SUCUMBIOS;ARMA DE FUEGO;2014
SICARIATO;PICHINCHA;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;MANABI;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2015
ASESINATO;LOS RIOS;ARMA DE FUEGO;2022
SICARIATO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
HOMICIDIO;SANTA ELENA;ARMA DE FUEGO;2019
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
HOMICIDIO;MANABI;ARMA DE FUEGO;2022
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;CONTUNDENTE;2024
HOMICIDIO;TUNGURAHUA;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2015
SICARIATO;MANABI;ARMA BLANCA;2018
HOMICIDIO;MANABI;ARMA DE FUEGO;2023
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2024
SICARIATO;LOS RIOS;ARMA DE FUEGO;2025
HOMICIDIO;EL ORO;ARMA DE FUEGO;2016
FEMICIDIO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ASFIXIA;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;MANABI;ARMA DE FUEGO;2024
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2017
HOMICIDIO;SANTO DOMINGO DE LOS TSACHILAS;ARMA BLANCA;2018
ASESINATO;GUAYAS;ARMA BLANCA;2018
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;CONTUNDENTE;2025
HOMICIDIO;MANABI;ARMA BLANCA;2019
ASESINATO;GUAYAS;ASFIXIA;2020
HOMICIDIO;ESMERALDAS;ARMA BLANCA;2016
SICARIATO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;PICHINCHA;ARMA BLANCA;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA DE FUEGO;2022
FEMICIDIO;PICHINCHA;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA BLANCA;2024
SICARIATO;LOS RIOS;ARMA DE FUEGO;2021
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;MANABI;ARMA DE FUEGO;2018
ASESINATO;PICHINCHA;ARMA BLANCA;2021
FEMICIDIO;MANABI;ARMA DE FUEGO;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2023
ASESINATO;EL ORO;ARMA BLANCA;2025
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
SICARIATO;PICHINCHA;ARMA BLANCA;2014
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
SICARIATO;PICHINCHA;ARMA DE FUEGO;2016
ASESINATO;LOS RIOS;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
SICARIATO;GUAYAS;ASFIXIA;2018
ASESINATO;EL ORO;ARMA DE FUEGO;2023
ASESINATO;AZUAY;ARMA DE FUEGO;2016
HOMICIDIO;PICHINCHA;CONTUNDENTE;2024
HOMICIDIO;MANABI;ARMA DE FUEGO;2018
SICARIATO;LOS RIOS;ARMA BLANCA;2016
ASESINATO;AZUAY;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;ARMA DE FUEGO;2022
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA BLANCA;2016
SICARIATO;ESMERALDAS;CONTUNDENTE;2022
SICARIATO;MANABI;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA BLANCA;2023
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ASFIXIA;2020
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2023
FEMICIDIO;GUAYAS;ARMA BLANCA;2022
SICARIATO;PICHINCHA;OTRA;2017
HOMICIDIO;LOS RIOS;ARMA DE FUEGO;2021
SICARIATO;TUNGURAHUA;ARMA BLANCA;2020
ASESINATO;EL ORO;ARMA DE FUEGO;2016
ASESINATO;MANABI;ARMA BLANCA;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2015
ASESINATO;GUAYAS;ASFIXIA;2022
SICARIATO;ESMERALDAS;CONTUNDENTE;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;CONTUNDENTE;2015
HOMICIDIO;MANABI;ARMA DE FUEGO;2025
ASESINATO;AZUAY;ARMA BLANCA;2018
HOMICIDIO;PICHINCHA;CONTUNDENTE;2025
SICARIATO;GUAYAS;ARMA DE FUEGO;2014
ASESINATO;MANABI;ARMA BLANCA;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2017
ASESINATO;PICHINCHA;CONTUNDENTE;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2023
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA DE FUEGO;2017
ASESINATO;TUNGURAHUA;ARMA DE FUEGO;2022
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;MANABI;ARMA DE FUEGO;2025
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2025
SICARIATO;ESMERALDAS;ARMA DE FUEGO;2014
FEMICIDIO;PICHINCHA;ARMA DE FUEGO;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2018
ASESINATO;EL ORO;ARMA DE FUEGO;2014
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;AZUAY;ARMA BLANCA;2019
ASESINATO;PICHINCHA;OTRA;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2016
ASESINATO;GUAYAS;ARMA BLANCA;2024
ASESINATO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;MANABI;ARMA DE FUEGO;2019
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2014
FEMICIDIO;LOS RIOS;ARMA DE FUEGO;2025
ASESINATO;LOS RIOS;ARMA DE FUEGO;2023
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2019
ASESINATO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2015
HOMICIDIO;GUAYAS;ARMA BLANCA;2022
ASESINATO;SUCUMBIOS;CONTUNDENTE;2017
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;EL ORO;ARMA DE FUEGO;2016
FEMICIDIO;TUNGURAHUA;ARMA DE FUEGO;2024
ASESINATO;GUAYAS;CONTUNDENTE;2025
SICARIATO;LOS RIOS;ARMA DE FUEGO;2016
ASESINATO;PICHINCHA;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
SICARIATO;PICHINCHA;ARMA DE FUEGO;2023
ASESINATO;EL ORO;ARMA DE FUEGO;2023
ASESINATO;LOS RIOS;ARMA BLANCA;2025
FEMICIDIO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;PICHINCHA;ARMA DE FUEGO;2021
ASESINATO;MANABI;ASFIXIA;2022
SICARIATO;PICHINCHA;ARMA BLANCA;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
SICARIATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;ESMERALDAS;ARMA DE FUEGO;2018
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;PICHINCHA;ASFIXIA;2015
HOMICIDIO;GUAYAS;CONTUNDENTE;2016
HOMICIDIO;ESMERALDAS;ARMA BLANCA;2019
SICARIATO;GUAYAS;ARMA BLANCA;2014
HOMICIDIO;MANABI;ARMA DE FUEGO;2018
SICARIATO;GUAYAS;ARMA DE FUEGO;2024
ASESINATO;SANTA ELENA;ARMA BLANCA;2024
ASESINATO;PICHINCHA;ARMA DE FUEGO;2024
ASESINATO;PICHINCHA;ARMA DE FUEGO;2016
SICARIATO;GUAYAS;ARMA DE FUEGO;2023
ASESINATO;CHIMBORAZO;ARMA DE FUEGO;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2022
ASESINATO;GUAYAS;ARMA DE FUEGO;2021
ASESINATO;EL ORO;ASFIXIA;2020
SICARIATO;ESMERALDAS;ARMA BLANCA;2016
ASESINATO;LOS RIOS;ARMA DE FUEGO;2017
ASESINATO;EL ORO;ARMA DE FUEGO;2021
FEMICIDIO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2019
ASESINATO;LOS RIOS;ARMA DE FUEGO;2024
SICARIATO;PICHINCHA;ARMA BLANCA;2015
ASESINATO;PICHINCHA;ARMA DE FUEGO;2020
ASESINATO;PICHINCHA;ARMA DE FUEGO;2017
ASESINATO;LOS RIOS;OTRA;2021
ASESINATO;MANABI;ARMA DE FUEGO;2024
ASESINATO;ESMERALDAS;CONTUNDENTE;2019
ASESINATO;GUAYAS;ARMA DE FUEGO;2016
HOMICIDIO;GUAYAS;ARMA BLANCA;2014
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2022
ASESINATO;SANTO DOMINGO DE LOS TSACHILAS;ARMA DE FUEGO;2019
ASESINATO;LOS RIOS;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA DE FUEGO;2022
HOMICIDIO;PICHINCHA;ASFIXIA;2014
SICARIATO;GUAYAS;ARMA BLANCA;2023
ASESINATO;GUAYAS;ASFIXIA;2024
HOMICIDIO;MANABI;ARMA DE FUEGO;2023
HOMICIDIO;PICHINCHA;ARMA BLANCA;2016
HOMICIDIO;GUAYAS;ARMA DE FUEGO;2020
ASESINATO;GUAYAS;ARMA DE FUEGO;2025
ASESINATO;PICHINCHA;ARMA DE FUEGO;2016
